,area_type,location,total_sqft,bathroom,balcony,price,BHK
74,Super built-up  Area,Hennur Road,2089.0,3.0,2,140.0,3.0
75,Super built-up  Area,Kothannur,1206.0,2.0,1,48.23,2.0
76,Super built-up  Area,Kalena Agrahara,1150.0,2.0,3,40.0,2.0
77,Built-up  Area,Other,2408.5,3.0,3,205.0,3.0
78,Built-up  Area,Kaval Byrasandra,900.0,1.0,0,38.0,2.0
80,Super built-up  Area,Other,1660.0,2.0,2,105.0,3.0
82,Super built-up  Area,Yelahanka,1326.0,2.0,2,78.0,2.0
83,Super built-up  Area,Garudachar Palya,1325.0,2.0,2,60.8,3.0
85,Built-up  Area,Hegde Nagar,2408.5,2.0,2,210.0,6.0
87,Super built-up  Area,Dasanapura,900.0,2.0,2,38.0,2.0
88,Super built-up  Area,Kasavanhalli,1060.0,2.0,2,58.06,2.0
90,Built-up  Area,Sanjay nagar,1000.0,2.0,2,70.0,2.0
93,Plot  Area,Other,1200.0,4.0,2,155.0,4.0
94,Super built-up  Area,Thanisandra,1296.0,2.0,3,80.0,2.0
95,Super built-up  Area,Domlur,1540.0,3.0,2,90.0,3.0
96,Plot  Area,Kengeri,2408.5,4.0,1,220.0,4.0
97,Super built-up  Area,Sarjapura - Attibele Road,1330.0,2.0,1,48.0,3.0
99,Built-up  Area,Other,1200.0,3.0,1,90.0,3.0
102,Plot  Area,Kothanur,2400.0,2.0,1,150.0,3.0
107,Built-up  Area,Rajaji Nagar,1640.0,3.0,2,220.0,3.0
108,Built-up  Area,Other,900.0,2.0,2,55.68,2.0
109,Super built-up  Area,Devanahalli,1260.0,2.0,2,66.78,2.0
110,Super built-up  Area,Other,1800.0,3.0,3,120.0,3.0
114,Built-up  Area,Ramamurthy Nagar,2408.5,4.0,1,220.0,4.0
115,Built-up  Area,Sarjapur  Road,2408.5,3.0,2,140.0,3.0
117,Super built-up  Area,Thanisandra,1436.0,3.0,1,74.75,3.0
118,Super built-up  Area,Malleshwaram,1100.0,2.0,2,75.0,2.0
119,Plot  Area,Hennur Road,900.0,3.0,3,38.0,2.0
120,Super built-up  Area,Thanisandra,1427.0,3.0,2,120.0,3.0
121,Super built-up  Area,Akshaya Nagar,2061.0,3.0,1,200.0,3.0
122,Super built-up  Area,Hebbal,2408.5,4.0,0,220.0,4.0
124,Super built-up  Area,Devanahalli,1282.0,2.0,2,68.52,3.0
125,Built-up  Area,Kadugodi,1050.0,2.0,1,38.0,2.0
128,Super built-up  Area,Hormavu,1500.0,2.0,1,78.0,2.0
130,Built-up  Area,Other,1870.0,3.0,3,110.0,3.0
131,Plot  Area,Sarjapur,1600.0,3.0,1,75.0,3.0
133,Plot  Area,Other,1200.0,4.0,0,210.0,4.0
134,Super built-up  Area,Kudlu Gate,1535.0,3.0,2,83.0,3.0
135,Built-up  Area,Kanakpura Road,950.0,2.0,1,57.0,2.0
137,Super built-up  Area,8th Phase JP Nagar,1073.5,2.0,0,54.005,2.0
138,Super built-up  Area,Bommasandra Industrial Area,1280.0,3.0,1,50.4,3.0
139,Super built-up  Area,Other,1260.0,2.0,2,85.05,3.0
142,Super built-up  Area,Kasavanhalli,1563.05,3.0,1,105.0,3.0
144,Super built-up  Area,Anandapura,1167.0,2.0,1,43.76,2.0
146,Super built-up  Area,Kothanur,1828.0,3.0,1,110.0,3.0
147,Super built-up  Area,Kengeri Satellite Town,900.0,2.0,1,38.0,2.0
151,Super built-up  Area,Kannamangala,957.0,2.0,1,58.0,2.0
153,Super built-up  Area,Other,2408.5,4.0,1,220.0,3.0
154,Super built-up  Area,Hulimavu,1125.0,2.0,2,50.0,2.0
155,Super built-up  Area,Electronic City Phase II,1020.0,2.0,1,38.0,2.0
156,Super built-up  Area,Kalena Agrahara,1200.0,2.0,2,50.0,2.0
157,Super built-up  Area,Thanisandra,1735.0,3.0,3,135.0,3.0
158,Super built-up  Area,Thanisandra,2050.0,3.0,1,145.0,3.0
159,Plot  Area,Other,2408.5,4.0,0,220.0,4.0
161,Super built-up  Area,Hosa Road,1063.0,2.0,1,38.0,2.0
162,Super built-up  Area,Other,1904.0,3.0,1,150.0,3.0
163,Built-up  Area,Whitefield,2408.5,4.0,2,220.0,4.0
164,Super built-up  Area,Other,2000.0,3.0,1,175.0,3.0
165,Super built-up  Area,Sarjapur,1242.5,2.0,0,43.49,2.0
168,Built-up  Area,Electronic City,1060.0,2.0,1,60.0,2.0
171,Super built-up  Area,Attibele,900.0,1.0,1,38.0,1.0
172,Super built-up  Area,Electronic City,1152.0,2.0,1,64.5,2.0
175,Plot  Area,Other,1500.0,3.0,2,100.0,3.0
177,Plot  Area,Nagavara,900.0,1.0,0,38.0,1.0
178,Super built-up  Area,Malleshwaram,900.0,1.0,2,67.0,1.0
180,Super built-up  Area,Hulimavu,1242.0,2.0,3,51.0,2.0
181,Super built-up  Area,Hebbal Kempapura,1700.0,3.0,2,155.0,3.0
182,Super built-up  Area,Thanisandra,2144.0,3.0,2,145.0,3.0
183,Super built-up  Area,Vijayanagar,1704.0,3.0,2,110.0,3.0
185,Plot  Area,Other,1846.0,3.0,2,220.0,3.0
188,Super built-up  Area,KR Puram,1277.5,2.0,0,56.8,2.0
189,Super built-up  Area,Marathahalli,1200.0,2.0,2,52.0,2.0
192,Plot  Area,Bellandur,1200.0,5.0,1,220.0,4.0
194,Super built-up  Area,Marathahalli,1200.0,2.0,2,60.0,2.0
195,Super built-up  Area,Yelahanka,1327.0,2.0,2,98.0,2.0
196,Super built-up  Area,Kothanur,1186.0,2.0,2,58.0,2.0
197,Built-up  Area,Other,1783.0,3.0,1,115.0,3.0
200,Super built-up  Area,EPIP Zone,1285.0,2.0,2,82.0,2.0
201,Super built-up  Area,Other,912.0,2.0,1,70.0,3.0
206,Super built-up  Area,Kogilu,1909.0,3.0,2,88.0,3.0
207,Super built-up  Area,Panathur,1359.0,2.0,1,87.0,2.0
209,Plot  Area,Padmanabhanagar,1736.0,2.0,0,190.0,4.0
210,Super built-up  Area,Other,2408.5,4.0,1,220.0,4.0
211,Super built-up  Area,Kammasandra,1595.0,3.0,2,65.0,3.0
213,Super built-up  Area,Electronics City Phase 1,1475.0,3.0,2,78.29,3.0
214,Super built-up  Area,Other,1580.0,3.0,3,100.0,3.0
215,Super built-up  Area,Dasarahalli,1295.0,2.0,1,65.0,2.0
216,Built-up  Area,Magadi Road,2408.5,2.0,0,141.0,6.0
217,Super built-up  Area,Electronic City,900.0,1.0,1,38.0,1.0
218,Super built-up  Area,Other,1415.0,3.0,3,78.0,3.0
219,Super built-up  Area,Sarjapur  Road,1787.0,3.0,2,98.29,3.0
220,Super built-up  Area,Sarjapur  Road,1787.0,3.0,2,125.0,3.0
225,Super built-up  Area,Other,2405.0,4.0,2,220.0,3.0
226,Built-up  Area,7th Phase JP Nagar,1080.0,2.0,2,72.0,2.0
227,Plot  Area,Other,1500.0,2.0,1,115.0,2.0
228,Super built-up  Area,Hebbal,1900.0,3.0,2,119.0,3.0
234,Super built-up  Area,Kalyan nagar,1290.0,2.0,2,110.0,2.0
237,Super built-up  Area,Vijayanagar,1933.0,3.0,1,129.0,3.0
240,Super built-up  Area,Chandapura,900.0,1.0,1,38.0,1.0
241,Plot  Area,Other,2408.5,2.0,2,180.0,3.0
242,Super built-up  Area,Chandapura,900.0,1.0,1,38.0,1.0
245,Plot  Area,Electronic City,1200.0,3.0,1,90.0,3.0
248,Plot  Area,Other,2408.5,3.0,2,220.0,3.0
249,Super built-up  Area,OMBR Layout,2408.5,3.0,2,185.0,3.0
252,Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,2,93.0,2.0
255,Plot  Area,Horamavu Agara,1200.0,2.0,0,95.0,4.0
257,Super built-up  Area,Electronic City,1108.0,2.0,1,63.0,2.0
259,Super built-up  Area,Other,2408.5,3.0,2,170.0,3.0
260,Plot  Area,Ambedkar Nagar,2408.5,3.0,2,220.0,4.0
262,Super built-up  Area,Raja Rajeshwari Nagar,1295.0,2.0,2,43.9,2.0
263,Super built-up  Area,Budigere,1162.0,2.0,1,59.9,2.0
269,Super built-up  Area,Kalena Agrahara,1804.0,3.0,2,120.0,3.0
270,Super built-up  Area,Sarjapur,913.0,2.0,1,38.0,2.0
271,Super built-up  Area,Talaghattapura,1868.0,3.0,2,131.0,3.0
272,Built-up  Area,Kengeri Satellite Town,900.0,2.0,1,45.0,2.0
273,Plot  Area,Other,900.0,2.0,1,110.0,2.0
275,Super built-up  Area,Hegde Nagar,2026.0,3.0,2,132.0,3.0
276,Super built-up  Area,Balagere,1210.0,2.0,1,80.9,2.0
278,Super built-up  Area,Kadugodi,1762.0,3.0,3,91.45,3.0
281,Built-up  Area,7th Phase JP Nagar,1420.0,2.0,1,100.0,3.0
283,Built-up  Area,Electronics City Phase 1,1490.0,3.0,1,78.8,3.0
284,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1,46.0,3.0
285,Super built-up  Area,Old Madras Road,1425.0,2.0,2,94.0,3.0
286,Built-up  Area,Kalena Agrahara,1200.0,2.0,1,40.0,2.0
287,Super built-up  Area,Kaggadasapura,1280.0,2.0,2,56.0,3.0
291,Super built-up  Area,Haralur Road,1027.0,2.0,2,44.0,2.0
292,Super built-up  Area,Electronic City Phase II,1069.0,2.0,2,45.0,2.0
293,Super built-up  Area,Hebbal,1349.0,2.0,1,98.2,2.0
294,Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1,50.0,2.0
295,Super built-up  Area,Jakkur,1417.0,2.0,3,75.0,2.0
296,Plot  Area,TC Palaya,1475.0,3.0,1,98.0,3.0
299,Plot  Area,Other,900.0,3.0,1,140.0,3.0
301,Super built-up  Area,Singasandra,1010.0,2.0,1,38.0,2.0
302,Super built-up  Area,Kalena Agrahara,1425.0,2.0,1,70.0,3.0
303,Super built-up  Area,Vijayanagar,1450.0,3.0,0,100.0,3.0
304,Super built-up  Area,Kothanur,1847.0,3.0,2,105.0,3.0
306,Super built-up  Area,Kanakpura Road,900.0,1.0,1,38.0,1.0
307,Super built-up  Area,Mallasandra,1665.0,3.0,2,95.0,3.0
309,Super built-up  Area,JP Nagar,1850.0,3.0,3,150.0,3.0
310,Super built-up  Area,Panathur,1438.0,2.0,3,100.0,2.0
311,Super built-up  Area,Other,1560.0,3.0,3,115.0,3.0
314,Super built-up  Area,Malleshpalya,1140.0,2.0,2,46.5,2.0
317,Super built-up  Area,Whitefield,1280.0,2.0,2,75.0,2.0
318,Built-up  Area,Munnekollal,1170.0,2.0,2,52.0,2.0
320,Super built-up  Area,Hennur Road,1385.0,2.0,1,83.09,2.0
321,Super built-up  Area,Electronic City,1128.0,2.0,1,65.0,2.0
322,Plot  Area,Marathahalli,1200.0,2.0,2,128.0,2.0
323,Plot  Area,Other,1200.0,4.0,3,165.0,4.0
324,Super built-up  Area,Rajaji Nagar,2390.0,3.0,2,220.0,3.0
325,Plot  Area,Other,2400.0,4.0,1,220.0,4.0
328,Super built-up  Area,Kaval Byrasandra,1200.0,2.0,2,52.0,2.0
330,Built-up  Area,Other,1645.0,3.0,2,95.0,3.0
331,Super built-up  Area,Sarjapur  Road,1000.0,2.0,1,67.0,2.0
332,Plot  Area,Haralur Road,2408.5,4.0,2,198.0,4.0
333,Super built-up  Area,6th Phase JP Nagar,1192.0,2.0,2,74.0,2.0
334,Super built-up  Area,Ulsoor,2135.0,3.0,2,215.0,3.0
336,Built-up  Area,Uttarahalli,1020.0,2.0,2,45.0,2.0
337,Super built-up  Area,Thigalarapalya,2408.5,2.0,2,220.0,4.0
339,Plot  Area,Other,1200.0,2.0,0,79.0,2.0
342,Super built-up  Area,Kalena Agrahara,1325.0,2.0,2,76.0,2.0
343,Built-up  Area,7th Phase JP Nagar,1850.0,3.0,1,150.0,3.0
345,Super built-up  Area,Basaveshwara Nagar,1200.0,2.0,2,65.0,2.0
346,Plot  Area,Other,1350.0,2.0,0,140.0,3.0
347,Super built-up  Area,Bommasandra,1260.0,3.0,1,49.36,3.0
348,Super built-up  Area,Other,1800.0,3.0,0,150.0,3.0
349,Plot  Area,Other,900.0,3.0,2,74.0,3.0
350,Built-up  Area,Ardendale,1100.0,2.0,1,43.25,2.0
351,Super built-up  Area,Harlur,1508.0,2.0,1,77.0,2.0
353,Super built-up  Area,Akshaya Nagar,1388.0,2.0,3,57.0,2.0
354,Super built-up  Area,Electronic City Phase II,900.0,1.0,1,38.0,1.0
355,Plot  Area,Other,2000.0,3.0,2,220.0,3.0
356,Super built-up  Area,Other,1762.0,3.0,1,125.0,3.0
358,Super built-up  Area,Other,2408.5,5.0,3,220.0,4.0
359,Super built-up  Area,Magadi Road,1116.0,2.0,1,50.0,2.0
360,Super built-up  Area,Other,1308.0,2.0,2,89.04,2.0
361,Super built-up  Area,Other,1200.0,3.0,0,90.0,3.0
362,Plot  Area,Other,1500.0,4.0,2,220.0,4.0
363,Built-up  Area,Bannerghatta Road,900.0,1.0,1,38.0,1.0
364,Super built-up  Area,Hennur,1075.0,2.0,1,52.0,2.0
365,Super built-up  Area,Chandapura,900.0,1.0,0,38.0,1.0
366,Built-up  Area,Bellandur,1205.0,2.0,3,66.0,2.0
367,Super built-up  Area,5th Phase JP Nagar,1075.0,2.0,2,60.0,2.0
368,Built-up  Area,KR Puram,930.0,2.0,2,39.0,2.0
370,Super built-up  Area,Hebbal,2408.5,5.0,2,212.0,4.0
372,Super built-up  Area,Bannerghatta Road,1050.0,2.0,1,65.0,2.0
373,Super built-up  Area,Other,2023.71,3.0,2,220.0,3.0
374,Super built-up  Area,Begur Road,1200.0,2.0,2,46.8,2.0
375,Super built-up  Area,Lakshminarayana Pura,1600.0,2.0,1,108.0,3.0
377,Super built-up  Area,8th Phase JP Nagar,900.0,1.0,0,38.0,1.0
378,Super built-up  Area,Electronic City,1800.0,3.0,2,95.0,3.0
380,Super built-up  Area,Hegde Nagar,1801.0,3.0,2,115.0,3.0
381,Built-up  Area,Mahadevpura,1451.0,2.0,1,90.0,2.0
382,Plot  Area,Anekal,1200.0,1.0,1,38.0,2.0
383,Super built-up  Area,Begur Road,1160.0,2.0,2,44.0,2.0
387,Built-up  Area,Vijayanagar,1580.0,2.0,0,134.0,3.0
388,Super built-up  Area,Vijayanagar,1826.0,3.0,2,121.0,3.0
389,Built-up  Area,7th Phase JP Nagar,1245.0,2.0,1,94.0,2.0
390,Super built-up  Area,Raja Rajeshwari Nagar,1145.0,2.0,2,45.79,2.0
395,Built-up  Area,Doddathoguru,1050.0,2.0,1,38.0,2.0
396,Built-up  Area,Dodda Nekkundi,1260.0,2.0,2,55.0,2.0
398,Built-up  Area,Hosur Road,1656.0,2.0,1,120.0,2.0
399,Super built-up  Area,Chandapura,1208.0,3.0,1,45.0,3.0
400,Super built-up  Area,Whitefield,1910.0,3.0,2,161.0,3.0
401,Super built-up  Area,Whitefield,2408.5,4.0,1,220.0,4.0
402,Plot  Area,Battarahalli,1200.0,2.0,1,65.0,2.0
403,Super built-up  Area,Other,1200.0,4.0,1,175.0,4.0
404,Super built-up  Area,7th Phase JP Nagar,1175.0,2.0,1,82.0,2.0
405,Plot  Area,Other,1000.0,2.0,0,165.0,2.0
406,Plot  Area,Bannerghatta Road,1200.0,2.0,0,125.0,4.0
407,Super built-up  Area,Rajaji Nagar,2390.0,3.0,2,220.0,3.0
408,Super built-up  Area,Rajaji Nagar,2408.5,2.0,3,220.0,7.0
409,Plot  Area,Other,900.0,1.0,1,62.0,2.0
410,Super built-up  Area,Kengeri,900.0,1.0,0,38.0,1.0
412,Super built-up  Area,Kengeri,900.0,2.0,1,38.0,2.0
416,Super built-up  Area,Billekahalli,1125.0,2.0,2,62.0,2.0
417,Plot  Area,Nagarbhavi,1350.0,3.0,2,150.0,3.0
418,Plot  Area,Anandapura,1000.0,2.0,1,55.0,2.0
419,Built-up  Area,Bommasandra Industrial Area,1090.0,2.0,2,38.0,2.0
420,Plot  Area,TC Palaya,1200.0,2.0,0,60.0,2.0
421,Super built-up  Area,Budigere,1991.0,4.0,2,103.0,3.0
422,Super built-up  Area,Bommasandra,1060.0,2.0,1,38.0,2.0
423,Super built-up  Area,Ambalipura,1105.0,2.0,1,75.0,2.0
424,Built-up  Area,Hoodi,985.0,2.0,2,67.0,2.0
427,Super built-up  Area,CV Raman Nagar,1120.0,2.0,2,55.0,2.0
429,Super built-up  Area,Marathahalli,1933.0,3.0,2,140.0,3.0
430,Built-up  Area,Hosur Road,1194.0,2.0,0,69.0,2.0
431,Super built-up  Area,Brookefield,1150.0,2.0,3,69.0,2.0
433,Super built-up  Area,Raja Rajeshwari Nagar,1419.0,2.0,2,48.1,2.0
434,Plot  Area,7th Phase JP Nagar,1200.0,2.0,1,220.0,3.0
435,Super built-up  Area,Other,2150.0,4.0,1,220.0,3.0
438,Super built-up  Area,Dasanapura,900.0,1.0,1,40.0,2.0
439,Plot  Area,Kasavanhalli,1000.0,4.0,3,110.0,3.0
440,Plot  Area,Whitefield,2408.5,4.0,3,220.0,4.0
441,Super built-up  Area,Bellandur,1250.0,2.0,1,76.0,2.0
442,Super built-up  Area,7th Phase JP Nagar,1400.0,2.0,1,95.0,3.0
444,Super built-up  Area,Ardendale,1750.0,3.0,2,100.0,3.0
445,Super built-up  Area,Vittasandra,1404.0,2.0,1,71.0,2.0
447,Built-up  Area,Electronic City,900.0,1.0,1,38.0,1.0
448,Super built-up  Area,Harlur,1752.12,3.0,2,135.0,3.0
450,Super built-up  Area,Raja Rajeshwari Nagar,1295.0,2.0,1,55.47,2.0
451,Plot  Area,Other,1800.0,3.0,2,220.0,3.0
452,Super built-up  Area,Sarjapur  Road,1346.0,2.0,1,74.03,2.0
453,Plot  Area,Other,1200.0,4.0,2,200.0,4.0
454,Super built-up  Area,Hormavu,1150.0,2.0,2,55.0,2.0
455,Built-up  Area,Other,2408.5,4.0,3,220.0,4.0
457,Super built-up  Area,Other,1620.0,3.0,2,98.0,3.0
458,Super built-up  Area,Marathahalli,950.0,2.0,1,46.96,2.0
459,Super built-up  Area,Other,2408.5,2.0,3,220.0,3.0
463,Built-up  Area,Padmanabhanagar,1020.0,2.0,2,63.0,2.0
464,Built-up  Area,Chikkalasandra,1100.0,2.0,2,50.0,2.0
465,Super built-up  Area,Other,1150.0,2.0,2,126.0,2.0
466,Super built-up  Area,Hebbal,1760.0,2.0,2,130.0,3.0
467,Super built-up  Area,Ambalipura,1800.0,3.0,3,110.0,3.0
468,Super built-up  Area,Akshaya Nagar,1070.0,2.0,1,54.0,2.0
469,Plot  Area,2nd Stage Nagarbhavi,1500.0,4.0,2,220.0,4.0
470,Plot  Area,Vidyaranyapura,1440.0,2.0,0,95.0,2.0
471,Super built-up  Area,Amruthahalli,900.0,2.0,1,40.0,2.0
472,Built-up  Area,Other,1200.0,4.0,1,220.0,4.0
474,Super built-up  Area,Koramangala,1320.0,2.0,1,165.0,2.0
475,Super built-up  Area,Other,1270.0,2.0,1,98.0,2.0
478,Super built-up  Area,Other,1200.0,2.0,1,74.0,2.0
479,Super built-up  Area,Subramanyapura,929.0,2.0,0,50.17,2.0
485,Super built-up  Area,7th Phase JP Nagar,2408.5,4.0,3,220.0,4.0
487,Super built-up  Area,Chikkalasandra,1208.0,2.0,1,49.0,2.0
488,Super built-up  Area,Hebbal Kempapura,1130.0,2.0,2,60.0,2.0
489,Super built-up  Area,Other,1753.0,3.0,2,120.0,3.0
490,Super built-up  Area,Old Madras Road,2408.5,2.0,3,220.0,5.0
491,Plot  Area,Other,900.0,3.0,2,58.0,3.0
492,Super built-up  Area,Hoodi,1196.0,2.0,2,94.42,2.0
493,Built-up  Area,5th Phase JP Nagar,1150.0,3.0,3,52.5,2.0
494,Super built-up  Area,Electronic City,1128.0,2.0,1,63.0,2.0
497,Built-up  Area,Kereguddadahalli,950.0,2.0,1,38.0,2.0
500,Plot  Area,Other,900.0,2.0,1,45.0,2.0
501,Super built-up  Area,Lingadheeranahalli,1511.0,3.0,1,95.0,3.0
504,Built-up  Area,Other,900.0,2.0,0,38.0,1.0
505,Super built-up  Area,Vidyaranyapura,1062.0,2.0,3,38.0,2.0
507,Super built-up  Area,JP Nagar,1000.0,2.0,1,38.0,2.0
508,Super built-up  Area,Kambipura,900.0,2.0,1,45.0,2.0
509,Super built-up  Area,Sarjapur  Road,1195.0,2.0,1,70.0,2.0
510,Plot  Area,Other,1200.0,3.0,1,165.0,4.0
511,Built-up  Area,Other,900.0,1.0,0,41.0,1.0
512,Super built-up  Area,Vittasandra,1246.0,2.0,1,67.0,2.0
517,Super built-up  Area,Begur Road,1584.0,3.0,1,65.0,3.0
518,Plot  Area,Other,2408.5,5.0,1,220.0,4.0
520,Built-up  Area,Other,1595.0,3.0,2,115.0,3.0
521,Super built-up  Area,Other,1353.0,2.0,2,110.0,2.0
522,Super built-up  Area,Electronic City,1599.0,3.0,2,125.0,3.0
523,Super built-up  Area,Whitefield,1150.0,2.0,1,70.0,2.0
524,Super built-up  Area,Jakkur,2408.5,2.0,1,220.0,4.0
525,Super built-up  Area,KR Puram,1155.0,2.0,2,42.74,2.0
526,Built-up  Area,Other,1200.0,2.0,0,85.0,1.0
527,Super built-up  Area,Electronic City Phase II,1000.0,2.0,1,38.0,2.0
529,Built-up  Area,Other,1867.0,3.0,1,160.0,3.0
530,Super built-up  Area,Ramagondanahalli,1251.0,2.0,1,47.0,2.0
532,Super built-up  Area,Arekere,1222.0,2.0,2,45.0,2.0
533,Super built-up  Area,Bannerghatta Road,1170.0,2.0,1,66.0,3.0
534,Super built-up  Area,Hebbal,2400.0,4.0,1,220.0,3.0
536,Super built-up  Area,HSR Layout,1372.0,2.0,1,68.0,2.0
539,Built-up  Area,Other,2408.5,3.0,1,220.0,5.0
541,Built-up  Area,Whitefield,1768.0,3.0,2,101.0,3.0
542,Built-up  Area,Other,1325.0,2.0,1,90.0,3.0
543,Super built-up  Area,Electronic City,1599.0,3.0,2,99.0,3.0
545,Plot  Area,Other,2408.5,3.0,0,220.0,3.0
546,Super built-up  Area,Uttarahalli,1286.0,2.0,2,63.0,2.0
547,Built-up  Area,Kammanahalli,2408.5,5.0,1,140.0,5.0
549,Super built-up  Area,Hennur Road,1317.5,2.0,0,63.77,2.0
551,Super built-up  Area,Munnekollal,1102.0,2.0,2,53.67,2.0
557,Super built-up  Area,Kanakpura Road,900.0,1.0,1,38.0,1.0
558,Built-up  Area,Attibele,900.0,2.0,1,38.0,2.0
559,Plot  Area,Marathahalli,1780.0,4.0,3,175.0,4.0
560,Super built-up  Area,Other,1056.0,2.0,1,80.0,2.0
561,Super built-up  Area,Bannerghatta Road,900.0,1.0,1,38.0,1.0
563,Super built-up  Area,7th Phase JP Nagar,2225.0,3.0,1,160.0,3.0
564,Super built-up  Area,Bommasandra,1126.0,2.0,1,38.0,2.0
565,Super built-up  Area,Electronics City Phase 1,1490.0,3.0,1,84.0,3.0
566,Plot  Area,HRBR Layout,2000.0,4.0,1,220.0,4.0
567,Super built-up  Area,Sarjapur  Road,1550.0,3.0,3,100.0,3.0
570,Built-up  Area,Whitefield,2408.5,4.0,3,220.0,4.0
571,Super built-up  Area,Sarjapur  Road,2100.0,3.0,2,125.0,3.0
572,Super built-up  Area,Vittasandra,1404.0,2.0,1,69.3,2.0
573,Plot  Area,Sarjapur  Road,2230.0,4.0,3,220.0,4.0
574,Super built-up  Area,Other,1544.0,3.0,1,120.0,3.0
575,Super built-up  Area,Banashankari Stage III,1305.0,2.0,1,58.7,3.0
576,Super built-up  Area,Marathahalli,1230.0,2.0,2,80.0,2.0
580,Built-up  Area,Gottigere,967.0,2.0,3,45.0,2.0
581,Built-up  Area,Other,900.0,1.0,1,38.0,1.0
582,Super built-up  Area,Hormavu,900.0,1.0,2,46.0,1.0
583,Super built-up  Area,Whitefield,2408.5,3.0,2,220.0,3.0
584,Super built-up  Area,Other,1578.0,3.0,1,180.0,3.0
585,Super built-up  Area,Mysore Road,1020.0,2.0,1,48.95,2.0
586,Super built-up  Area,Jigani,1020.0,2.0,1,40.0,2.0
587,Super built-up  Area,Koramangala,1253.0,2.0,1,102.0,2.0
590,Built-up  Area,Kanakapura,1419.0,3.0,3,75.0,3.0
591,Super built-up  Area,Harlur,1709.0,3.0,2,150.0,3.0
592,Plot  Area,Other,1600.0,2.0,0,115.0,2.0
