,id,comment_text,identity_hate
1876,0512b588a4b80e45,your are fucking gay wad i fucked your mum oh wait your gay you dont have a mom hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahalololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcunti fucked your mum oh wait your gay you dont have a mom hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahalololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcunti fucked your mum oh wait your gay you dont have a mom hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahalololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcunti fucked your mum oh wait your gay you dont have a mom hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahalololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcunti fucked your mum oh wait your gay you dont have a mom hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahalololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcunti fucked your mum oh wait your gay you dont have a mom hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahalololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololololcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcuntcu,1
1878,0512f33cf8807fa2,aaron swartz stop fucking reverting my goddamn edits i think aaron swartz is a dumbass and he should have beenkilled a long time ago  i know where you live i will kill you if you revert any more pages,1
2018,057894cf4738a5d8,you are a gay homo i hope you choke on your penis and die i am sending a big bleck guy to jizz in your face,1
2161,05dbe7a437525101,no you are the racist you goddamn neonazi  you big boy,1
2359,065675c12e22e3e1,you fascit nazi you socialist bastard you filthy hippy you dare touch my edits again and ill go to where you live and kick your ass in person it shouldnt be hard to find communes smell worse than slaughter houses i make edits i dont vandilaze get off your high horse,1
2366,065b10e83e654132,user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is userenigmaman is a homo like mitt romney is user is a homo like mitt romney is user is a homo like mitt romney is userenigmaman is a homo like mitt romney is newl,1
2374,0661f992b32b3351,fuck of nazi propagandaodpierdalcie sie jebani faszy ci od polski ,1
2441,0683f1eb0df413d1,im sorry are you fucking stupid that nice person just gave me a warning then you fucking block me nigger cunt eat pussy bitch,1
2469,06960372c6ea8fa6,actually i am fully arabic and islamic and the correct spelling unlike how you stupid christians have been spelling it is mouammar al qadhdhaffy but you are all too racist and white and stupid too accept   ,1
2579,06e6b9c7a04a162d,pedophiles sex criminals imperial japan nazi germany and other such degenerate ilk also are minority views and for good reason  and by the way showcasing your stalker skills and googling my name is quite retarded and antisocial behavior  please stop and seek therapy cause you need it,1
2618,0700b07700927977,smallthingy  are you gaydo you frequent the hellfire clubdo you shake your little tusch on the catwalk,1
2937,07f1e0a1c10fcf28,dumb niggaz yall niggas are dumbsean kingston never played biggiei was joking around dumbfucks,1
3008,081a5f7b052138cf,hey roy  go fukk yourself you gay bichya u heard me  pussy,1
3214,08ad8be453f902fc,i just got a telegram in the mailit saysgwernol is gayswear to fuck your mom if you swear to tape it,1
3469,0959d4fdaf74a050,this dude that blocked me is a fucking cock sucker hexachord suck some dick negro,1
3599,09a5d74443ac4b35,similar concept how can you mark a modern day nation with being a barbarian you western jerks were playing with pieces of shits while we were conquering the world you may be ultrachrist ultragreek ultraarmenian ultrawestern or whatever you want but cant be a turkcontributions,1
3620,09b51ed1ee5e29a1,mate sound like you are jewishgayness is in the air,1
3697,09e42c1742c9a50c,but ew he was a f g which is against nature and is the most disgusting thing youre not a woman are you sexism is wrong being wrong is for women,1
4037,0acc70c5afa0e8ce,niggers and their liberal friends steal everything not tied down just like the presidency here with acorn with its liberal defenders fuck you nigger oboama,1
4147,0b0de50dc6cb4029,terrorist you seem like a terrorist sir are you penises as small as they say they are i have corroborated it with a cite something you never bothered to do you may keep your comments about drones as long as you cite it even though it has no place on this page in turn please dont remove what i have written about the  sectarian nature of conflict and why do all muslims ruin akbars good name with your allah o akbar crap he was a good king and you should not sully his image,1
4159,0b19454c17bc62f4,lol charles you are a real fag arent you siding with chinks go fuck yourself asswipe we dont need no chinks in here fag,1
4267,0b649be53b494a8a,hold on ive got something to say to u fuk u yea thats right u r gay for revertin my edit you dumb fuk lol go fuk urself you gay cock licker haha,1
4288,0b6f5024a35d9bfd,are you a faggot or what,1
4310,0b7b725623dd6a8a,ah fuck it i see now looked back in strivers records hes a fucking islamist troll nothing more no point bothering with him hell just keep popping up,1
4468,0be7965b23078261,just face the truth you cant escape ituser didnt edit your foul slimy racist template you loser i suggest that you stop pretending that manchus are ethnically chinese how about you face the undeniable truthand how about you stop making false accusations about other users   following the blocking of the above user i am very surprised that you havent been blocked from editing wikipedia as well given that your manchu ethnicity template itself as created by you is also a blatant violation of wikipedia policy   barnstar  the monkeys barnstar for pushing forward fringe views on wikipedia especially your foul slimy racist view that manchus are ethnically chinese you have proven yourself to be more barbaric than this monkey heres a bananacongratulations for acting like a monkeywow so you have managed to earn the monkeys barnstar you must be highly barbaric then   stop making false accusationscongratulations for calling user  the h word well i have news for you user  is not ethnically chinese so just face the truth and stop namecalling you racist manchu otherwise i will get my meatpuppets to stop you in your tracks   ,1
4609,0c39f0c6f89707be,im very upset that youve done this to me and ur a big shithead  i think that ur probbly black bcuz ur stupid,1
4655,0c5470cc0d7bafa3,niggah hey fool whyd you delete my article,1
4677,0c61b995539b2ebf,ur so immature im  and ur not evn debatingur a  year old baby and im like an adultnobody likes youanywayeverybody doesnt like any fat assholes like ugrownups fight like a mani fight using words like swearin like eminem dos in is songsu dont evn have a brainshit wat a crazy guyuserdarkhooded smoker,1
4728,0c888087108ada34,ekgograf and his son of bitch of gang of dumb nzi  and are the greatest batard that ever walk on earth ,1
5032,0d5ae3d5aea21f1b,fuck my stupid muslim ass,1
5152,0daadaa11dffa075,gays are disgustingits just my opinion but gays are disgusting,1
5207,0dde1d663784d23b,i shall look forward to the day i hear of your death and i intend to continue terrorizing you and make your life a living hell you nasty little stupid mexican faggot,1
5743,0f5fe8d17f2db7bb,wikibitch yo lil punkass aint shit out on da streets nigga,1
5768,0f7021223412c689,and i hate everything to do with chinawhats with all the hate i believe it or not do not hate georgians just saakashvili hes an asshole  ,1
5824,0f90062f6a601734,muhammad was a murderer rapist thief slave trader warmonger and dirty pedophileislam  nazi,1
5839,0f9a7ba1acde6b6e,it is obvius to me a black man that orange is for da black gs blue is for mexicans and yellow is  whites coz whites look like woman and mexicans try to compete with da nigger gs but we r too strong but in realty the whites also lose to da black man coz we have foot   orangethroated males are strongest and do not form strong pair bonds instead they fight bluethroated males for their females yellowthroated males however manage to snatch females away from them for matingbluethroated males are middlesized and form strong pair bonds while they are outcompeted by orangethroated males they can defend against yellowthroated onesyellowthroated males are smallest and their coloration mimics females under this disguise they can approach orangethroated males though not the strongerbonding bluethroated specimens and mate while the orangethroats are engaged in fights,1
5931,0fd884ee19c7af65,userabd is muslim scum,1
5999,10043d0e30dae1d6,shutup u aint nobody u ugly gay fag,1
6063,10304d5db5fb5821,n i g g e r f a g g o t,1
6212,1097ef7cb66eda8f,fuck your couch nigger,1
6298,10d00101fcc3bf05,gayi would like to request the removal of this article on the grounds that it is mad gay,1
6635,11b0bf92972c885e,what i wanna do im josh nanni i say fuck america and jews and ron howard,1
6671,11c8b449f91406f9,you are still very gay,1
7010,12aeac37aa137df6,like wtf look man youre a graduate student in mathematical fucking ecology and you have pictures of amoebas on your homepage  dont you have anything better to do  you have a job  what can you do as a mathematical ecologist  what the fuck do you want to do with your life  get off wikipedia you fucking dead beat  jesus h christ  go get a girlfriend or something or get an interesting job or at the least go play some donkey kong or something  my god  you sicken me you sad sack little fuck  oh and tea drinker  you drink tea  i like tea too man but not that much  you are a giant cock sucker  get a life dudesincerely     the real ntown gangstaps  youre a faggot,1
7036,12c82a67010c0fcf,an illness has nothing to do with timeera but mental illnesses for some reason do in a society where everyone is narcissistic its not a disorder ragheads think were insane and we think those sandniggers are crazy too ever heard of einsteins theory of relativity i think not ,1
7055,12d17284171e6cb1,regarding you being a homosexualyou are clearly a homosexual i think you should leave normal society and go and live in a sewer with all the other homosexuals you are clearly not normal if you persist with reporting me for abusing you i will insert a large garden gnome into you and stay off the dublin airport article its my territory if i say delta serve orlando from dublin then they do dont send me fucking patronising messages again fucking freak,1
7103,12ede95b6a12397c,you people are pretty overzealous with this whole free thing  get a fucking life you fucking niggers  ,1
7299,1368c10281978876,youre a stupid cunt fuck you dumb arse your mum has a hairy cunt and i hope and pray that you die no fuck that i wish you would die if i had three wishes one of them would be to have you dead and the others would be so that everyone you knew hated your cunt like face,1
7327,1378b3c31bfb64de,i think its fair to say that people who found out what infantry is by reading this article are being complete niggers,1
7748,149e15ad2efded1a,u r sooooooooooooo gay,1
7818,14cf27f9495d131f,why the fuck do u edit my contrib to wiki about the iranian army they must die u know stupid terroriststheyre living on israeli soil called asiaafrica which should be for israelis only and muslim free,1
7893,15020e13393c4b3c,hi you poor twerps my money does far more good than your pathetic rule enforcing have fun with your fat wives and gay hookers,1
8050,156f84c4b9052ca5,hey white person you suck stop being so white nigger pride nonwhite person,1
8417,165fe8bb208c44d0,now for the picture page to remain what do you need remove on the pagestwo can you remove the fraud external links you make all nigerian look like fraud or con artiststhis is my request,1
8531,16a4d34345378025,hey queer andrewstop messing aroundis your mum lesbian and father homosexual,1
8540,16a9b958b048e649,you are gay gay gay gay gay gay,1
8649,16fc8ee8dfc92c9e,are you gayare you a niggerare you a gay niggerthen the gay nigger association of america is right for yougive me yor moneyz,1
8966,17d2a1d2147f897f,you are queer as volk you are gay man oh no the wikipedia police are coming to get meyou are the only gay in  the village,1
8977,17dd17eb535029d6,dear jesus really has vander plaats really become the lt gov man we gotta deal with why republicans like jaysuschris hate the ten commandments and love right wing sluts like karen nussle republicans i think jaysuschris is female and probably a lesbian,1
9090,183a77b265f02ccd,hey i know that im just a city boy but this page was written by a bunch of dumbass redneck fuckers who worship beer and have talking bass mouunted on every wall i fucking hate rednecks and all there woodsport shit these fuckers need to get a life and learn how to use their right handdo rednecks ever have sex with people other than their own family members,1
9181,18736dafe129bfe4,jimbo wales is a gay little fucker,1
9487,1926c91c07e0b9fb,you piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scumyou piece of asian american scum,1
9780,19dff9fa1459e8e3,i dislike homos like you  my cock is for girls only  go try to impress another guy  bye homo,1
9950,1a571af3f479500b,dude this guy is so gay,1
10129,1ac7cc71c1c7e109,bongwarrior is such a raging faggot he doesnt even know how to properly spell motley crew predictable though for a substance abuser like bongwarrior even with his name he flaunts his illegal usage of drugs in front of our faces along with crue or whatever,1
10267,1b299e79ba6e127e,in the anus with a nigger dick in it,1
10293,1b3aa6023f24699d, where are you polish pederast   you are polish pederast cocksucker you are slave pederast cocksucker,1
10385,1b7455c475386030,fuck off you paki bastard take your sad pathetic life somewhere else,1
10401,1b7bcb93e8a4ebf6,bongwarrior is a homosexual prostitute bongwarrior is a homosexual prostituteyou can fuck him in the ass for he likes it when two men fuck him in the ass at the same time  he likes the feeling of his anus being stretched wide openhe will also lick the shit off of your dick when you are done,1
10507,1bba4e67cd28ff75,fan is a nigger licker  fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan is a nigger licker fan i,1
10537,1bccfd25bf571cde, contested deletion this page should not be speedily deleted because it speaks the truth of my life you dont know the hardships ive been through if you and your jew  wants to decide my destiny and silence my first amendment rights fukyou get your fat wikipedia ss off of my profile you might think you have a life or something going around saying whoopdie fuckedy doo ima go around and delete some random persons wikipedia page fukyou you dont choose what to do with my wikipedia page fukyou and fucyour mom   ,1
10558,1bda6556be53dc55,oi ya fag stop deleting me post ya gay boi,1
10561,1bdc9c88c1d76c65,to badgermany didnt win the war we wouldnt have been subject to the crap these english sissyboys put out lets face it they were poor musicians and their music sucked outloud lennon and epstien were queer my cousin had a garage band back in the sixties that like most bands would have blown the beatles off of the stage i want to hold your hand gimmee a break why dont you just kiss my ass fat tom cleveland ohio,1
10769,1c7b06718dcc3b86, is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger  is a nigger ,1
10813,1c96e8a4e320dfd4,sarah palin is an ass kissing mother fucking loser with a melon in her hair she sucks eggs that are from her brainyuck stupid she is a bitch there i said it she is a sucker with a big bitch thing and a bitchy attitude about life she is horribly radical with religion she is a fucker stupid idiot with fucking shit in here face,1
10852,1cb02b861c944fb9,what the fuck does a dumb canadian polock like you know about staten island new york i dont edit anything about that nest of cowards you live in so dont stick your polock nose into something that i know about got it you stupid motherfucker,1
10972,1d00b32d1bd750fe,these hoes lame on here on leaving this site yall gay and shit,1
